Price,Area,Age,Tenure,Purchaser,Region
1412345,678.13,7,Leasehold,HDB,Bishan
960000,484.38,7,Leasehold,Private,Bishan
2180000,1280.92,8,Leasehold,HDB,Bishan
2450000,1248.62,12,Leasehold,Private,Bishan
2300000,1367.03,8,Leasehold,Private,Bishan
1475000,904.18,8,Leasehold,Private,Bishan
2100000,1291.68,12,Leasehold,HDB,Bishan
1300000,882.65,19,Leasehold,HDB,Bishan
1270000,678.13,7,Leasehold,Private,Bishan
2150000,1248.62,12,Leasehold,Private,Bishan
1866000,904.18,1,Leasehold,HDB,Bishan
1575000,764.24,1,Leasehold,Private,Bishan
1715000,1345.5,29,Leasehold,Private,Bishan
1520000,947.23,8,Leasehold,Private,Bishan
1330000,968.76,23,Leasehold,Private,Bishan
1750000,1323.97,29,Leasehold,Private,Bishan
1880000,1259.39,31,Freehold,Private,Bishan
2200000,1345.5,8,Leasehold,Private,Bishan
2050000,1011.82,1,Leasehold,HDB,Bishan
2248000,1011.82,1,Leasehold,Private,Bishan
1720000,1011.82,8,Leasehold,Private,Bishan
1225000,882.65,19,Leasehold,HDB,Bishan
1813000,979.52,11,Freehold,HDB,Bishan
1580000,764.24,1,Leasehold,Private,Bishan
1550000,764.24,1,Leasehold,Private,Bishan
1090000,710.42,8,Leasehold,HDB,Bishan
2508000,1657.66,8,Leasehold,HDB,Bishan
2720000,1442.38,27,Freehold,HDB,Bishan
1880000,1550.02,29,Leasehold,Private,Bishan
1975000,904.18,1,Leasehold,HDB,Bishan
1420000,645.84,1,Leasehold,Private,Bishan
1320000,678.13,7,Leasehold,Private,Bishan
1308000,645.84,1,Leasehold,HDB,Bishan
1630000,893.41,8,Leasehold,HDB,Bishan
2480000,1140.98,7,Leasehold,Private,Bishan
980000,495.14,7,Leasehold,Private,Bishan
1742000,1345.5,29,Leasehold,Private,Bishan
2095000,1216.33,12,Leasehold,Private,Bishan
1600000,764.24,1,Leasehold,Private,Bishan
1818000,1313.21,36,Leasehold,Private,Bishan
2100000,1248.62,12,Leasehold,Private,Bishan
2910000,1765.3,12,Leasehold,HDB,Bishan
2350000,1291.68,12,Leasehold,HDB,Bishan
1610000,1184.04,18,Leasehold,Private,Bishan
2550000,1140.98,1,Leasehold,Private,Bishan
1548888,764.24,1,Leasehold,Private,Bishan
1800000,1022.58,8,Leasehold,HDB,Bishan
2190000,1291.68,12,Leasehold,HDB,Bishan
1680000,764.24,1,Leasehold,HDB,Bishan
3020000,1743.77,12,Leasehold,Private,Bishan
1500000,764.24,1,Leasehold,Private,Bishan
2100000,1485.43,18,Leasehold,HDB,Bishan
2500000,1367.03,8,Leasehold,Private,Bishan
1918000,1205.57,19,Leasehold,Private,Bishan
1580000,764.24,1,Leasehold,HDB,Bishan
1285000,882.65,19,Leasehold,Private,Bishan
1388888,678.13,7,Leasehold,Private,Bishan
1616000,893.41,8,Leasehold,Private,Bishan
1040000,645.84,20,Freehold,Private,Bishan
2215000,1011.82,1,Leasehold,Private,Bishan
1600000,796.54,7,Leasehold,Private,Bishan
1868000,1205.57,19,Leasehold,Private,Bishan
1200000,914.94,20,Leasehold,Private,Bishan
2190000,1140.98,7,Leasehold,Private,Bishan
2055000,1506.96,29,Leasehold,Private,Bishan
2010000,904.18,1,Leasehold,Private,Bishan
1310000,893.41,31,Freehold,HDB,Bishan
1650000,1022.58,8,Leasehold,Private,Bishan
1730000,1011.82,8,Leasehold,Private,Bishan
2800000,1571.54,39,Freehold,Private,Bishan
1418888,645.84,1,Leasehold,HDB,Bishan
1633000,1270.15,29,Leasehold,Private,Bishan
1680000,764.24,1,Leasehold,Private,Bishan
1400000,678.13,7,Leasehold,HDB,Bishan
1980000,1140.98,7,Leasehold,Private,Bishan
1538000,764.24,1,Leasehold,Private,Bishan
987000,495.14,7,Leasehold,Private,Bishan
1395000,645.84,1,Leasehold,HDB,Bishan
2325000,1248.62,8,Leasehold,HDB,Bishan
2298000,1367.03,8,Leasehold,Private,Bishan
1170000,527.44,1,Leasehold,Private,Bishan
2250000,1280.92,12,Leasehold,Private,Bishan
2080000,1162.51,8,Leasehold,HDB,Bishan
1650000,1065.64,8,Leasehold,Private,Bishan
2250000,1248.62,8,Leasehold,HDB,Bishan
